RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-2663568	-3676638	14.343511	105.202737	142037	1051210	48PWA2186185727	ND48-07	T	PASS		CB,LA,TH				CB,LA,TH	N	tha		Chong	CHONGBOK	Chong Bok	Chong Bok	BOK CHONG	Bok, Chong	Bok, Chong		2012-05-02
5	-3728039	-4955355	20.833333	104.383333	205000	1042300	48QVJ3583903825	NF48-14	T	MT		VM	00			LA	N				PHUSANG	Phu Sang	Phu Sang	SANG PHU	Sang, Phu	Sang, Phu		1995-04-14
5	-3724978	-4951065	15.1	107.65	150600	1073900	48PYB8485071103	ND48-04	T	PK		VM	00			LA	N				NGOKPENGBUK	Ngok Peng Buk	Ngok Peng Buk	PENGBUK NGOK	Peng Buk, Ngok	Peng Buk, Ngok		1995-04-14
5	-3732749	-4961812	17.4	106.033333	172400	1060200	48QXE0976024102	NE48-11	T	MT		VM	00			LA	N				COTUNTANG	Co Tun Tang	Co Tun Tang	TUNTANG CO	Tun Tang, Co	Tun Tang, Co		1995-04-14
5	-2668444	8030457	17.731953	101.006583	174355	1010024	47QQV1277661665	NE47-12	T	MT		LA,TH				LA	N	lao		Phou	PHOUSOAYDAO	Phou Soaydao	Phou Soaydao	SOAYDAO PHOU	Soaydao, Phou	Soaydao, Phou		2012-02-08
5	-2669544	-3686197	14.847483	105.555085	145051	1053318	48PWB5971941531	ND48-07	T	RDGE		LA,TH				LA	N				PHOUXONGNANG	Phou Xong-Nang	Phou Xong-Nang	XONGNANG PHOU	Xong-Nang, Phou	Xong-Nang, Phou		2012-05-01
5	-2669542	-3686194	14.703057	105.531752	144211	1053154	48PWB5724625551	ND48-07	T	MT		LA	02			LA	N			Phou	PHOUXONGHINKONG	Phou Xonghinkong	Phou Xonghinkong	XONGHINKONG PHOU	Xonghinkong, Phou	Xonghinkong, Phou		2012-05-01
5	-2664568	-3678197	14.765869	105.511581	144557	1053042	48PWB5505932493	ND48-07	T	PASS		LA,TH				LA	N				CHONGHUAISUA	Chong Huai Sua	Chong Huai Sua	HUAISUA CHONG	Huai Sua, Chong	Huai Sua, Chong		2012-05-01
5	-3256300	-4621703	14.720659	105.521554	144314	1053118	48PWB5614427495	ND48-07	T	PASS		LA,TH				LA	N				CHONGTAU	Chong Ta-U	Chong Ta-U	TAU CHONG	Ta-U, Chong	Ta-U, Chong		2012-05-01
5	-2667076	-3682300	14.537134	105.526683	143214	1053136	48PWB5674307197	ND48-07	T	PK		LA,TH				LA	N			Phou	PHOUPAAO	Phou Paao	Phou Paao	PAAO PHOU	Paao, Phou	Paao, Phou		2012-05-01
5	-2664510	-3678065	14.605851	105.539736	143621	1053223	48PWB5813114801	ND48-07	T	RDGE		LA	02			LA	N			Phou	PHOUHOUAYTAMLUNG	Phou Houaytamlung	Phou Houaytamlung	HOUAYTAMLUNG PHOU	Houaytamlung, Phou	Houaytamlung, Phou		2012-05-01
5	-2663753	-3676959	14.940556	105.583889	145626	1053502	48PWB6279151834	ND48-07	T	SPUR		LA,TH				LA	N				PHOUCHOCO	Phou Choco	Phou Choco	CHOCO PHOU	Choco, Phou	Choco, Phou		2012-05-01
5	-2665655	-3679908	14.876023	105.580165	145234	1053449	48PWB6240944695	ND48-07	T	RDGE		LA,TH				LA	N				PHOULAO	Phou Lao	Phou Lao	LAO PHOU	Lao, Phou	Lao, Phou		2012-05-01
5	-2667998	-3683720	14.454361	105.456479	142716	1052723	48PWA4919898026	ND48-07	T	MT		LA,TH				LA	N				PHOUSAKHAO	Phou Sakhao	Phou Sakhao	SAKHAO PHOU	Sakhao, Phou	Sakhao, Phou		2012-05-01
