model,url,url2
205,,
AH-1,,
AH-1G,https://www.vhpa.org/pictures/AH1G.jpg,
AH-47A,,
CH-21C,https://www.vhpa.org/pictures/CH21C.jpg,
CH-34,,https://www.museum.vhpa.org/Aircraft/images/kingbeesm.jpg
CH-37B,https://www.vhpa.org/pictures/CH37B.jpg,
CH-3C,,
CH-3E,https://www.vhpa.org/pictures/CH3E.jpg,
CH-43,,
CH-46A,https://www.vhpa.org/pictures/CH46A.jpg,
CH-46D,,
CH-47A,https://www.vhpa.org/pictures/CH47A.jpg,
CH-47B,,
CH-47C,,
CH-53,,
CH-53A,,
CH-53C,,
CH-53D,,
CH-54A,https://www.vhpa.org/pictures/CH54A.jpg,https://www.museum.vhpa.org/Aircraft/images/vn26sm.jpg
HH-3,,
HH-3E,,
HH-43B,https://www.vhpa.org/pictures/HH43B.jpg,
HH-43F,,
HH-53B,,
HH-53C,,
OH-13S,https://www.vhpa.org/pictures/OH13S.jpg,https://www.museum.vhpa.org/flightschool/images/1sm.jpg
OH-23G,https://www.vhpa.org/pictures/OH23G.jpg,https://www.museum.vhpa.org/Aircraft/images/HillerOH23sm.jpg
OH-58A,https://www.vhpa.org/pictures/OH58A.jpg,https://www.museum.vhpa.org/Aircraft/images/OH-58A2sm.jpg
OH-6,,https://www.museum.vhpa.org/Aircraft/images/loachart.jpg
OH-6A,https://www.vhpa.org/pictures/OH6A.jpg,
SH-3A,,
UH-1,,https://www.museum.vhpa.org/Aircraft/images/UH-1HHTsm.jpg
UH-1A,,
UH-1B,https://www.vhpa.org/pictures/UH1B.jpg,https://www.museum.vhpa.org/Aircraft/images/UHsm.jpg
UH-1C,https://www.vhpa.org/pictures/UH1C.jpg,
UH-1D,https://www.vhpa.org/pictures/UH1D.jpg,https://www.museum.vhpa.org/Aircraft/images/1stUH1Dsm.jpg
UH-1E,https://www.vhpa.org/pictures/UH1E.jpg,
UH-1F,,
UH-1H,https://www.vhpa.org/pictures/UH1H.jpg,https://www.museum.vhpa.org/Aircraft/images/Pb180069sm.jpg
UH-1M,,
UH-2A,,
UH-2B,https://www.vhpa.org/pictures/UH2B.jpg,
UH-2C,https://www.vhpa.org/pictures/UH2C.jpg,
UH-34D,https://www.vhpa.org/pictures/UH34D.jpg,
