refno,incident,service,uic_code,picture,short_sum,loss_inv,url,mgrs,grid,model,tail_no,date,unit
,,VF,,,,TRUE,https://www.vhpa.org/KIA/incident/48QYD937972.HTM,48QYD937972,YD937972,UH-1H,68-16431,,
0015,62100606.KIA,MC,,,Crashed due to mechanical failure while flying SAR for a 20-plane helilift southeast of Tam Ky.,TRUE,https://www.vhpa.org/KIA/incident/62100606KIA.HTM,49PBT470007,BT470007,UH-34D,145790,621006,HMM-163
,05976ACD,AR,,,,FALSE,https://www.vhpa.org/KIA/incident/05976ACD.HTM,49PBR554098,BR554098,CH-21C,56-02079,630321,81 TC CO
,63100810.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/63100810KIA.HTM,48PYC839399,YC839399,UH-34D,148759,631008,HMM-361
0026,07838ACD,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/07838ACD.HTM,48PWS910400,WS910400,CH-37B,55-00627,631212,61 TR CO
0028,64011813.KIA,AR,,https://www.vhpa.org/pictures/6201880.jpg,,TRUE,https://www.vhpa.org/KIA/incident/64011813KIA.HTM,48PXR700836,XR700836,UH-1B,62-01880,640118,UTT
,07954ACD,AR,WAX7AA,,Crashed 13 KM South of Gai Rai Village.,TRUE,https://www.vhpa.org/KIA/incident/07954ACD.HTM,48PWR515078,WR515078,UH-1B,62-01963,640315,114 AHC
,08619ACD,AR,WAX7AA,,"Shot down on take-off from Cao Lanh Air Field, 3 km south-southeast of Cao Lanh City.",TRUE,https://www.vhpa.org/KIA/incident/08619ACD.HTM,48PWS705532,WS705532,UH-1B,62-01919,640629,114 AHC
,08620ACD,AR,,,Crashed 6 KM North of Tien Phuoc.,FALSE,https://www.vhpa.org/KIA/incident/08620ACD.HTM,49PBT106197,BT106197,UH-1B,62-01879,640630,HHC/52 CAB
,0A005ACD,AR,WBSUAA,,This incident took place 14 KM South of Vinh Long Airfield.,TRUE,https://www.vhpa.org/KIA/incident/0A005ACD.HTM,48PXS055190,XS055190,UH-1B,63-08591,640701,57 MED DET
,,AA,,,,TRUE,https://www.vhpa.org/KIA/incident/64070848QUH280170.HTM,48QUH280170,UH280170,UH-34D,149392,640708,AIR AMERICA
,64081888.KIA,AA,,,Shot down and burned during SAR mission near the Plain of Jars.,TRUE,https://www.vhpa.org/KIA/incident/64081888KIA.HTM,48QUG490250,UG490250,UH-34D,145807,640818,AIR AMERICA LAOS
,0A666ACD,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/0A666ACD.HTM,48PYS570950,YS570950,UH-1B,63-08598,641007,118 AML
,,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/64110148PXT985128.HTM,48PXT985128,XT985128,CH-43,,641101,
,0B315ACD,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/0B315ACD.HTM,48PYT050850,YT050850,UH-1B,63-08718,650115,571 TC DET
,65032828.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/65032849PAT973578.HTM,49PAT973578,AT973578,UH-34D,148812,650328,HMM-163
,0B765ACD,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/0B765ACD.HTM,49PAQ929568,AQ929568,UH-1B,63-08631,650405,145 AIRLIFT PLAT
,,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/65060249QAT792914.HTM,49QAT792914,AT792914,HH-43F,63-9713,650602,38 ARRS
,65081888.KIA,AR,WAGTT0,,Crewmember was KIA while supporting Hotel 2/4's insertion into LZ BLUE at BS692921.,FALSE,https://www.vhpa.org/KIA/incident/65081888KIA.HTM,49PBS692921,BS692921,UH-1B,63-08711,650818,HHT/1/9 CAV 1 CAV
0152,65092013.KIA,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/65092013KIA.HTM,48QWF775009,WF775009,HH-43F,62-04510,650920,38 ARRS
,0C972ACD,AR,WAGTC0,,Mid air with a U.S. Air Force A-1E during an air strike.,TRUE,https://www.vhpa.org/KIA/incident/0C972ACD.HTM,49PBR615648,BR615648,OH-13S,63-09151,651004,C/1/9 CAV 1 CAV
,651012AA.KIA,AA,,,,TRUE,https://www.vhpa.org/KIA/incident/651012AAKIA.HTM,48PXC675465,XC675465,UH-34D,H-32,651012,AIR AMERICA LAOS
0174,65101805.KIA,VF,,,Crashed in bad weather returning to Kham Duc. Had been the C&C and rescue ship for the first ever SHINING BRASS insertion.,TRUE,https://www.vhpa.org/KIA/incident/65101805KIA.HTM,48PYC895105,YC895105,CH-34,,651018,219 VNAF SQDN
,65110691.BAT,NA,,,,TRUE,https://www.vhpa.org/KIA/incident/65110691BAT.HTM,48QWH712723,WH712723,SH-3A,148993,651106,
0186,65110690.BAT,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/65110690BAT.HTM,48QWH520906,WH520906,CH-3C,63-09685,651106,38 ARRS
0195,65112210.TXT,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/65112210TXT.HTM,49PBT720060,BT720060,UH-34D,147180,651122,HMM-362
,,AR,WAG7AA,https://www.vhpa.org/pictures/6309107.jpg,,FALSE,https://www.vhpa.org/KIA/incident/65112549PBS820430.HTM,49PBS820430,BS820430,OH-13S,63-09107,651125,E/82 ARTY 1 CAV
0203,65120310.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/65120310KIA.HTM,49PBT031273,BT031273,UH-34D,148762,651203,HMM-364
,,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/65120649PBS762465.HTM,49PBS762465,BS762465,UH-1E,151272,651206,
0208,65120862.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/65120862KIA.HTM,49PBT281411,BT281411,UH-34D,145768,651208,HMM-364
,65120909.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/65120949PBT125315.HTM,49PBT125315,BT125315,UH-1E,151847,651209,VMO-2
,0D610ACD,AR,WAR5AA,,,TRUE,https://www.vhpa.org/KIA/incident/0D610ACD.HTM,49PCQ293325,CQ293325,UH-1B,63-08653,660112,197 AHC
,0D877ACD,AR,WAGTA0,,,TRUE,https://www.vhpa.org/KIA/incident/0D877ACD.HTM,49PBR791940,BR791940,OH-13S,63-09210,660219,A/1/9 CAV
,,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/66030149PCQ065725.HTM,49PCQ065725,CQ065725,UH-1D,64-13780,660301,
0280,66032010.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66032010KIA.HTM,49QBT010895,BT010895,UH-34D,149351,660320,HMM-163
2036,66041555.KIA,NA,,,"UH-2B on test flight crashed on take-off from USS Kitty Hawk.  Body was not recovered, lost at sea.  Two crew members rescued.",TRUE,https://www.vhpa.org/KIA/incident/66041555KIA.HTM,48QZE080610,ZE080610,UH-2B,150162,660415,HC-1
,,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/66041948PZB890425.HTM,48PZB890425,ZB890425,UH-1B,62-02011,660419,
0327,0E650ACD,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/0E650ACD.HTM,49PCP330930,CP330930,UH-1D,64-13602,660505,
,0E654ACD,AR,WAGTB0,,,TRUE,https://www.vhpa.org/KIA/incident/0E654ACD.HTM,49PBS855100,BS855100,UH-1D,63-12988,660506,B/1/9 CAV 1 CAV
,,AR,,,This destroyed UH-21 found at XT629450 while 2/18 Inf was doing a search and destroy mission along valley.,TRUE,,48PXT629450,XT629450,CH-21C,56-02143,660512,
,,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66061148QYD041681.HTM,48QYD041681,YD041681,CH-46A,151935,660611,HMM-265
,F192ACD,AR,WAGTB0,,Source indicate to the VHPA that this was the B/1/9th Cav LOH in which WO Smith and his observer died after being hit by ground fire.,TRUE,https://www.vhpa.org/KIA/incident/F192ACD.HTM,48PZA115303,ZA115303,OH-13S,63-09153,660613,B/1/9 CAV
,66062525.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66062548QYD569419.HTM,48QYD569419,YD569419,UH-34D,148053,660625,HMM-161
0383,66070333.KIA,VF,,,"While flying SOG RT Nevada from Kham Duc to Kontum, the tail boom folded inflight.",TRUE,https://www.vhpa.org/KIA/incident/66070333KIA.HTM,48PZB188874,ZB188874,CH-34,,660703,219 VNAF SQDN
0390,66070888.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66070888KIA.HTM,48QYD885148,YD885148,CH-46A,151947,660708,
,,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/66070848PWS785146.HTM,48PWS785146,WS785146,HH-43B,59-1587,660708,
,,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/66070848PZA189414.HTM,48PZA189414,ZA189414,UH-1B,64-13994,660708,
,,MC,,,,FALSE,https://www.vhpa.org/KIA/incident/66071548QYD038649.HTM,48QYD038649,YD038649,CH-46A,,660715,HMM-265
,,MC,,,,FALSE,https://www.vhpa.org/KIA/incident/66071548QYD038649.HTM,48QYD038649,YD038649,CH-46A,,660715,HMM-265
,,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66071548QYD038649.HTM,48QYD038649,YD038649,CH-46A,151930,660715,HMM-164
,,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66071548QYD038649.HTM,48QYD038649,YD038649,CH-46A,151936,660715,HMM-164
,66071515.KIA,MC,,https://www.vhpa.org/pictures/152500.jpg,,TRUE,https://www.vhpa.org/KIA/incident/66071515KIA.HTM,48QYD038649,YD038649,CH-46A,152500,660715,HMM-265
,,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66071548QYD038649.HTM,48QYD038649,YD038649,CH-46A,157961,660715,HMM-265
,F735ACD,AR,WAGYAA,,,TRUE,https://www.vhpa.org/KIA/incident/F735ACD.HTM,48PZA182955,ZA182955,UH-1D,64-13542,660720,15 MED 1 CAV
0401,66072010.KIA,AR,WC3FAA,,Hit by an RPG,TRUE,https://www.vhpa.org/KIA/incident/66072010KIA.HTM,48PXS668865,XS668865,UH-1B,64-14095,660720,68 AVN
,66072323.KIA,AR,WAAWB0,,,FALSE,https://www.vhpa.org/KIA/incident/66072323KIA.HTM,49PAR768365,AR768365,CH-47A,64-13121,660723,B/228 AVN
,F934ACD,AR,WC3EAA,,,TRUE,https://www.vhpa.org/KIA/incident/F934ACD.HTM,49PCQ200428,CQ200428,UH-1D,64-13772,660801,48 AVN
,66080808.KIA,MC,,,Sparrow Hawk reaction force for recon team 12 KM North of Ca Lu Airfield.,FALSE,https://www.vhpa.org/KIA/incident/66080848QXD984596.HTM,48QXD984596,XD984596,UH-34D,150264,660808,HMM-161
,,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/66090148QTG826130.HTM,48QTG826130,TG826130,CH-3C,64-14227,660901,
,,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/66090848PYU440060.HTM,48PYU440060,YU440060,UH-1C,66-00505,660908,
0472,66092510.TXT,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66092510TXT.HTM,48QYD031563,YD031563,UH-34D,148776,660925,HMM-161
0474,G509ACD,AR,WAX7AA,,,TRUE,https://www.vhpa.org/KIA/incident/G509ACD.HTM,48PXR735693,XR735693,UH-1B,64-13935,660926,114 AHC
,,AR,,,,TRUE,https://www.vhpa.org/KIA/incident/66100248PXR075615.HTM,48PXR075615,XR075615,UH-1B,63-08697,661002,
0485,66100610.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66100610KIA.HTM,48QYD885148,YD885148,CH-46A,151960,661006,HMM-265
,G957ACD,AR,WARJAA,,Hit power lines which crossed highway QL-15 1 KM Northeast of Long Binh Post.,TRUE,https://www.vhpa.org/KIA/incident/G957ACD.HTM,48PYT056085,YT056085,OH-13S,64-15416,661012,HHC 173 ABN
,,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/66102048QWD868962.HTM,48QWD868962,WD868962,HH-3E,65-12778,661020,38 ARRS
,66102811.KIA,AF,,https://www.vhpa.org/pictures/Yes Ed Lemp,Hit by an RPG during a host mission to rescue US Army soldiers.,TRUE,https://www.vhpa.org/KIA/incident/66102811KIA.HTM,48PYA754546,YA754546,HH-43B,62-04511,661028,38 ARRS DET 9
,66103055.KIA,AR,WC7ZAA,,Shot down during resupply mission 7 km north-northwest of Plei Djereng Air Field (old).,TRUE,https://www.vhpa.org/KIA/incident/66103055KIA.HTM,48PYA832602,YA832602,UH-1D,64-13587,661030,155 AHC
,H123ACD,AR,WAYAAA,,,TRUE,https://www.vhpa.org/KIA/incident/H123ACD.HTM,48PYA585562,YA585562,UH-1B,63-08600,661111,119 AHC
,H124ACD,AR,WAX8AA,,,TRUE,https://www.vhpa.org/KIA/incident/H124ACD.HTM,48PYA585562,YA585562,UH-1B,63-08663,661111,117 AHC
,66111101.KIA,AR,,,Aircraft took hostile fire during emergency resupply mission.,FALSE,https://www.vhpa.org/KIA/incident/66111101.KIA,48PYA605514,YA605514,UH-1D,65-09711,661111,281 AHC
,H648ACD,AR,WC4YAA,,"The pilots were assigned to S-4, 52nd CAB and  borrowed this helicopter from the 170 AHC.",TRUE,https://www.vhpa.org/KIA/incident/H648ACD.HTM,48PYA857535,YA857535,UH-1D,65-09903,661111,170 AHC
,,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/66112948QTG826148.HTM,48QTG826148,TG826148,CH-3C,64-14231,661129,38 ARRS
0537,66120210.TXT,AR,WFJFAA,,,TRUE,https://www.vhpa.org/KIA/incident/66120210TXT.HTM,48QXD633631,XD633631,UH-1D,65-10088,661202,281 AHC
1113,,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/66120648QYD745000.HTM,48QYD745000,YD745000,UH-34D,143974,661206,
,H622ACD,AR,WC7ZAA,,,TRUE,https://www.vhpa.org/KIA/incident/H622ACD.HTM,48PYA663838,YA663838,UH-1D,65-09990,661220,155 AHC
2014,67011222.KIA,NA,,,,TRUE,https://www.vhpa.org/KIA/incident/67011222KIA.HTM,48QYF045370,YF045370,SH-3A,149909,670112,
,67011919.KIA,AR,WAJ1AA,,,FALSE,https://www.vhpa.org/KIA/incident/67011919KIA.HTM,48PZA172586,ZA172586,UH-1C,66-00545,670119,4 AVN 4 INF
,67012828.KIA,MC,,,Received multiple small arms hits and was forced to land.  CE died of wounds.,FALSE,https://www.vhpa.org/KIA/incident/67012828KIA.HTM,49PBS816394,BS816394,CH-46A,152566,670128,HMM-262
,67020202.KIA,AR,WBSZAA,,,TRUE,https://www.vhpa.org/KIA/incident/67020202KIA.HTM,48PXT967268,XT967268,UH-1D,65-12881,670202,283 MED DET
,670206121ACD,AR,WARTAA,,,TRUE,https://www.vhpa.org/KIA/incident/670206121ACD.HTM,48PXT862158,XT862158,UH-1D,64-13563,670206,71 AHC
0591,67020610.KIA,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/67020610KIA.HTM,48QWE847643,WE847643,HH-3E,65-12779,670206,38 ARRS DET 5
,67021501.KIA,AR,,,Shot down from a hover in LZ.,TRUE,https://www.vhpa.org/KIA/incident/67021501KIA.HTM,48PWR456722,WR456722,UH-1D,65-09854,670215,336 AHC
0595,67021711.TXT,AR,WAKED0,,,TRUE,https://www.vhpa.org/KIA/incident/67021711TXT.HTM,48PYA568588,YA568588,OH-23G,64-15293,670217,D/1/10 CAV 4 INF
,67021717.KIA,AR,WAKED0,,Shot down in the Plei Trap Valley.,TRUE,https://www.vhpa.org/KIA/incident/67021717KIA.HTM,48PYA568558,YA568558,OH-23G,64-15313,670217,D/1/10 CAV 4 INF
0602,67022710.TXT,NA,,,,TRUE,https://www.vhpa.org/KIA/incident/67022710TXT.HTM,48QYE855130,YE855130,UH-2B,151317,670227,HC 1
0620,67031310.TXT,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/67031310TXT.HTM,48QYD100525,YD100525,UH-34D,150574,670313,
,67031999.KIA,AR,WC3FAA,,"Hit mine while landing troops during operation Junction City at FSB Gold (Suoi Tre), 16 KM NE of Nui Ba Den Mountain.",TRUE,https://www.vhpa.org/KIA/incident/67031999KIA.HTM,48PXT385705,XT385705,UH-1D,64-13799,670319,68 AHC
,670320011ACD,AR,WBSUAA,,Crashed into the West side of Nui Ba Den during a night medivac in route to pick up an injured soldier.,TRUE,https://www.vhpa.org/KIA/incident/670320011ACD.HTM,48PXT262592,XT262592,UH-1D,65-10043,670320,57 MED DET
,,AR,WALZA0,,,FALSE,https://www.vhpa.org/KIA/incident/67032548PXT380980.HTM,48PXT380980,XT380980,UH-1D,65-10120,670325,A/25 AVN 25 INF
,67033120.KIA,AF,,,Hit by ground fire during resupply mission.,TRUE,https://www.vhpa.org/KIA/incident/67033120KIA.HTM,48PYB549190,YB549190,UH-1F,65-07932,670331,20 SOS
2021,67040510.KIA,MC,,,Two mines were command detonated in landing zone 4 km East-Southeast of Duc Pho causing a total of 12 KIAs.,TRUE,https://www.vhpa.org/KIA/incident/67040510KIA.HTM,49PBS753015,BS753015,UH-1E,151852,670405,
,670408041ACD,AR,WDFWA0,,,TRUE,https://www.vhpa.org/KIA/incident/670408041ACD.HTM,48PXT705860,XT705860,UH-1D,66-00766,670408,A/9 AVN 9 INF
,67041616.KIA,AR,WAGTB0,,,TRUE,https://www.vhpa.org/KIA/incident/67041616KIA.HTM,49PBS785495,BS785495,UH-1B,63-08736,670416,B/1/9 CAV
0657,67042710.KIA,MC,,,,TRUE,https://www.vhpa.org/KIA/incident/67042710KIA.HTM,49PCT700200,CT700200,UH-34D,148071,670427,HMM-263
0665,67050110.KIA,MC,,,Lost both engines during medevac mission to SANCTUARY. All but one of the crew and some of the medevacs survived.,TRUE,https://www.vhpa.org/KIA/incident/67050110KIA.HTM,49PBT750150,BT750150,CH-46A,150268,670501,HMM-165
,670501171ACD,AR,WGPQAA,,,TRUE,https://www.vhpa.org/KIA/incident/670501171ACD.HTM,48PYT086035,YT086035,UH-1D,64-13738,670501,335 AHC
,670501172ACD,AR,WGPQAA,,,FALSE,https://www.vhpa.org/KIA/incident/670501172ACD.HTM,48PYT086035,YT086035,UH-1D,66-01159,670501,335 AHC
,670502161ACD,AR,WARTAA,,,TRUE,https://www.vhpa.org/KIA/incident/670502161ACD.HTM,49PBS641951,BS641951,UH-1D,64-13715,670502,71 AHC
,,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/67050849PAT860655.HTM,49PAT860655,AT860655,HH-43F,63-9715,670508,38 ARRS
,67051818.KIA,AR,WAGTB0,,Shot down at 1845 hours killing pilot and seriously wounding the observer.  The observer was lifted out by a Shark aircraft.,TRUE,https://www.vhpa.org/KIA/incident/67051818KIA.HTM,49PBS820430,BS820430,OH-13S,63-09107,670518,B/1/9 CAV
,670519112ACD,AR,WGPRAA,,,TRUE,https://www.vhpa.org/KIA/incident/670519112ACD.HTM,48PXR075615,XR075615,UH-1D,64-13521,670519,336 AHC
,670519061ACD,AR,WAX9AA,,,TRUE,https://www.vhpa.org/KIA/incident/670519061ACD.HTM,48PXS075485,XS075485,UH-1D,66-01037,670519,118 AHC
,670519111ACD,AR,WGPRAA,,,TRUE,https://www.vhpa.org/KIA/incident/670519111ACD.HTM,48PXR075615,XR075615,UH-1D,66-01154,670519,336 AHC
,,AF,,,,TRUE,https://www.vhpa.org/KIA/incident/67052148PYS114908.HTM,48PYS114908,YS114908,HH-43F,63-9711,670521,38 ARRS
0703,67052115.KIA,AR,WFJFAA,,,TRUE,https://www.vhpa.org/KIA/incident/67052115KIA.HTM,48QYC458874,YC458874,UH-1C,65-09480,670521,281 AHC
0708,67052310.KIA,NA,,,,TRUE,https://www.vhpa.org/KIA/incident/67052310KIA.HTM,48QYF108686,YF108686,SH-3A,148985,670523,HS-2 CVS-12
,670526051ACD,AR,WAAVC0,,,TRUE,https://www.vhpa.org/KIA/incident/670526051ACD.HTM,49PBR933896,BR933896,UH-1D,65-10089,670526,C/227 AVN
